Moisture content and electrical resistance,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"From PDF file: ""Electronic mositure meters for wood",,,,,,,,,,,,,,,,,,,,
http://www.fpl.fs.fed.us/documnts/fplgtr/fplgtr06.pdf,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
The average electrical resistance along the grain of several species of wood at different levels of moisture content,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Moisture content -->,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,
Conifers,,,,,,,,,,,,,,,,,,,,
Baldcypress,12 600,3 980,1 410,630,265,120,60,33,"18,6","11,2","7,1","4,6","3,09","1,78","1,26","0,91","0,66","0,51","0,42",
Douglas-fir (coast region),22 400,4 780,1 660,630,265,120,60,33,"18,6","11,2","7,1","4,6","3,09","2,14","1,51","1,10","0,79","0,60","0,46",
"Fir, California red",31 600,6 760,2 000,725,315,150,83,48,"28,8","18,2","11,8","7,6","5,01","3,31","2,29","1,58","1,15","0,83","0,63",
"Fir, white",57 600,15 850,3 980,1 120,415,180,83,46,"26,9","16,6","11,0","6,6","4,47","3,02","2,14","1,55","1,12","0,86","0,62",
"Hemlock, eastern",,120 000,20 000,4 300,1 300,450,200,100,"45,0","25,0","14,0","8,8","5,40","3,50","2,30","1,60","1,10","0,78","0,57",
"Hemlock, western",22 900,5 620,2 040,850,400,185,98,51,"28,2","16,2","10,0","6,0","3,89","2,52","1,58","1,05","0,72","0,51","0,37",
"Larch, western",39 800,11 200,3 980,1 445,560,250,120,63,"33,9","19,9","12,3","7,6","5,02","3,39","2,29","1,62","1,20","0,87","0,66",
"Pine, jack",450 000,52 000,9 500,2 800,1 000,440,210,110,"60,0","35,0","21,0","13,0","8,80","5,80","3,80","2,60","1,80","1,30","0,98",
"Pine, longleaf",25 000,8 700,3 160,1 320,575,270,135,74,"41,7","24,0","14,4","8,9","5,76","3,72","2,46","1,66","1,15","0,79","0,60",
"Pine, red",700 000,100 000,17 000,4 300,1 300,470,210,100,"52,0","28,0","16,0","10,0","6,80","4,40","2,80","1,90","1,20","0,91","0,67",
"Pine, white",20 900,5 620,2 090,850,405,200,102,58,"33,1","19,9","12,3","7,9","5,01","3,31","2,19","1,51","1,05","0,74","0,52",
"Pine, ponderosa",39 800,8 910,3 310,1 410,645,300,150,81,"44,7","25,1","14,8","9,1","5,62","3,55","2,34","1,62","1,15","0,87","0,69",
"Pine, shortleaf",43 600,11 750,3 720,1 350,560,255,130,69,"38,9","22,4","13,8","8,7","5,76","3,80","2,63","1,82","1,29","0,93","0,66",
"Pine, sugar",22 900,5 250,1 660,645,280,140,76,44,"25,7","15,9","10,0","6,6","4,36","3,02","2,09","1,48","1,05","0,75","0,56",
Redwood,22 400,4 680,1 550,615,250,100,45,22,"12,6","7,2","4,7","3,2","2,29","1,74","1,32","1,05","0,85","0,71","0,60",
"Spruce, black",700 000,90 000,16 000,4 300,1 400,580,250,120,"68,0","38,0","23,0","14,0","9,60","6,30","4,30","3,00","2,10","1,40","1,00",
"Spruce, Sitka",22 400,5 890,2 140,830,365,165,83,44,"25,1","15,5","9,8","6,3","4,27","3,02","2,14","1,58","1,17","0,91","0,71",
Hardwoods,,,,,,,,,,,,,,,,,,,,
"Ash, black",14 000,2 300,600,200,85,40,20,10,"6,0","3,4","2,1","1,3","0,90","0,60","0,42","0,32","0,25","0,20","0,17",
"Ash, white2",12 000,2 190,690,250,105,55,28,14,"8,3","5,0","3,2","2,0","1,32","0,89","0,63","0,50","0,44","0,40","0,40",
"Aspen, bigtooth",300 000,24 000,4 000,1 100,360,150,60,30,"16,0","8,6","5,0","3,1","2,00","1,30","0,88","0,61","0,43","0,33","0,26",
Basswood2,36 300,1 740,470,180,85,45,27,16,"9,6","6,2","4,1","2,8","1,86","1,32","0,93","0,69","0,51","0,39","0,31",
Birch2,87 000,19 950,4 470,1 290,470,200,96,53,"30,2","18,2","11,5","7,6","5,13","3,55","2,51","1,78","1,32","0,95","0,70",
"Birch, paper",200 000,24 000,5 000,1 400,550,230,110,57,"30,0","17,0","10,0","6,0","4,00","2,50","1,70","1,10","0,81","0,59","0,43",
"Elm, American",18 200,2 000,350,110,45,20,12,7,"3,9","2,3","1,5","1,0","0,66","0,48","0,42","0,40","0,40","0,40","0,40",
Hickory2,,31 600,2 190,340,115,50,21,11,"6,3","3,7","2,3","1,5","1,00","0,71","0,52","0,44","0,40","0,40","0,40",
